#curie_map:
#  uniclass: "https://w3id.org/tesseract/construction-crosswalks/uniclass-lifted#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/construction-crosswalks/uniclass-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "Uniclass 2015 (verified codes) to ifcOWL IFC4 ADD2 crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://w3id.org/tesseract/construction-crosswalks/uniclass-lifted"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between Uniclass 2015 codes (verified against uniclass.thenbs.com, April 2026 table versions; see lift/uniclass_to_rdf.py) and ifcOWL IFC4 ADD2. Uniclass stratifies the built environment into tables (Complexes > Entities > Spaces > Elements > Systems > Products) while IFC types occurrences, so most correspondences here cross a strata boundary and say so. Rows with predicate_modifier=Not are asserted NON-mappings. SKOS direction per the SKOS Reference: A skos:broadMatch B asserts B is the broader concept; A skos:narrowMatch B asserts B is the narrower concept. Confidence is the curator's, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
uniclass:EF_25_10	Walls	skos:closeMatch		ifc:IfcWall	IfcWall	semapv:ManualMappingCuration	0.85	The cleanest element-level row. Residual gap: IFC splits curtain walling into IfcCurtainWall while EF_25_10 classifies the wall function regardless of construction.
uniclass:EF_30_10	Roofs	skos:closeMatch		ifc:IfcRoof	IfcRoof	semapv:ManualMappingCuration	0.85	Direct at the element level. IfcRoof is frequently a container aggregating slabs and beams; the EF code classifies the whole either way.
uniclass:EF_30_20	Floors	skos:closeMatch		ifc:IfcSlab	IfcSlab	semapv:ManualMappingCuration	0.7	Crossed scopes rather than a clean match: IfcSlab is broader (it also serves as roof slab and landing, with a predefined type discriminating) and narrower (a floor element includes build-up beyond the structural slab). Kept at closeMatch because in exchange practice floor elements land as IfcSlab.
uniclass:EF_30_30	Decks	skos:relatedMatch		ifc:IfcSlab	IfcSlab	semapv:ManualMappingCuration	0.6	Decks (including bridge decks) have no dedicated IFC4 class; they are modelled as slabs by convention. Related, not close: IFC4 predates the infrastructure entities that would carry this properly.
uniclass:EF_25_30_25	Doors	skos:closeMatch		ifc:IfcDoor	IfcDoor	semapv:ManualMappingCuration	0.9	Direct at the element level: both classify the door as an installed filling of an opening, and neither side splits doorsets from doors at this depth.
uniclass:EF_25_30_97	Windows	skos:closeMatch		ifc:IfcWindow	IfcWindow	semapv:ManualMappingCuration	0.9	Direct at the element level, same shape as the doors row; IFC's IfcWindow likewise covers the window as installed opening filling.
uniclass:EF_35_10	Stairs	skos:closeMatch		ifc:IfcStair	IfcStair	semapv:ManualMappingCuration	0.9	Direct at the element level: IfcStair, like the EF code, denotes the whole vertical-circulation element and aggregates flights and landings beneath it.
uniclass:EF_35_20	Ramps	skos:closeMatch		ifc:IfcRamp	IfcRamp	semapv:ManualMappingCuration	0.9	Direct at the element level, mirroring the stairs row: IfcRamp aggregates ramp flights exactly as IfcStair aggregates stair flights.
uniclass:EF_20_05_30	Foundations	skos:narrowMatch		ifc:IfcFooting	IfcFooting	semapv:ManualMappingCuration	0.8	Foundations is the broader function: IfcFooting carries the shallow-foundation case. Read as 'IfcFooting is the narrower concept'.
uniclass:EF_20_05_30	Foundations	skos:narrowMatch		ifc:IfcPile	IfcPile	semapv:ManualMappingCuration	0.8	The deep-foundation case of the row above. IFC splits by construction method what Uniclass unifies by function; neither is wrong, and the crosswalk must carry both rows or silently lose piles.
