#curie_map:
#  cobie: "https://w3id.org/tesseract/construction-crosswalks/cobie-lifted#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/construction-crosswalks/cobie-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "COBie 2.4 (BS 1192-4) worksheet model to ifcOWL IFC4 ADD2 crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://w3id.org/tesseract/construction-crosswalks/cobie-lifted"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between the COBie worksheet model (lifted; see lift/cobie_to_rdf.py) and ifcOWL IFC4 ADD2. The entity-level skeleton follows the COBie mapping documented in BS 1192-4 and the buildingSMART FM Handover MVD, re-expressed against ifcOWL IRIs; the confidences and the non-mappings are this repository's. Rows with predicate_modifier=Not are asserted NON-mappings. SKOS direction per the SKOS Reference: A skos:narrowMatch B asserts B is the narrower concept. COBie asserts zero disjointness, so no mis-mapping into COBie is reasoner-rejectable; every row here rests on SHACL shape checks and human review only."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
cobie:Contact	Contact	skos:closeMatch		ifc:IfcPersonAndOrganization	IfcPersonAndOrganization	semapv:ManualMappingCuration	0.9	The documented COBie anchor: a Contact row is a person-in-role-for-an-organisation, keyed by email. IfcPerson or IfcOrganization alone each lose one half of the pair.
cobie:Facility	Facility	skos:closeMatch		ifc:IfcBuilding	IfcBuilding	semapv:ManualMappingCuration	0.7	The weakest 'direct' row in COBie, kept honest by the two related rows below: one Facility row deliberately flattens three IFC entities (project, site, building) into one record. IfcBuilding is the primary carrier of the facility name in the documented mapping.
cobie:Facility	Facility	skos:relatedMatch		ifc:IfcProject	IfcProject	semapv:ManualMappingCuration	0.7	The project-context slice of the Facility flattening: units, phase and project name come from IfcProject.
cobie:Facility	Facility	skos:relatedMatch		ifc:IfcSite	IfcSite	semapv:ManualMappingCuration	0.7	The site slice of the Facility flattening: linear units and site name come from IfcSite.
cobie:Floor	Floor	skos:closeMatch		ifc:IfcBuildingStorey	IfcBuildingStorey	semapv:ManualMappingCuration	0.9	Direct, with one edge: COBie files roofs and external levels as Floor rows, which IFC represents as storeys only by convention.
cobie:Space	Space	skos:closeMatch		ifc:IfcSpace	IfcSpace	semapv:ManualMappingCuration	0.9	Direct. The COBie Space is the managed-location notion and inherits IfcSpace's room-data semantics.
cobie:Zone	Zone	skos:closeMatch		ifc:IfcZone	IfcZone	semapv:ManualMappingCuration	0.9	Direct, and the mirror image of the bot-ifc false friend: COBie Zone and IfcZone are both non-spatial aggregations of spaces. The same IFC entity that must NOT be mapped to bot:Zone is exactly right here. Two rows, two crosswalks, opposite verdicts on one label.
cobie:Type	Type	skos:closeMatch		ifc:IfcTypeObject	IfcTypeObject	semapv:ManualMappingCuration	0.85	The catalogue-specification notion. In practice COBie Types are IfcTypeProduct subtypes (equipment, fittings); IfcTypeObject is the documented superclass target.
cobie:Component	Component	skos:closeMatch		ifc:IfcElement	IfcElement	semapv:ManualMappingCuration	0.85	The installed occurrence. Strictly the MVD admits some non-element products as components; IfcElement covers the maintainable-asset core that COBie exists for.
cobie:System	System	skos:closeMatch		ifc:IfcSystem	IfcSystem	semapv:ManualMappingCuration	0.85	Direct. IFC4 refines this with IfcDistributionSystem and IfcBuildingSystem subclasses; COBie keeps one flat sheet.
