#curie_map:
#  bot: "https://w3id.org/bot#"
#  ifc: "http://ifcowl.openbimstandards.org/IFC4_ADD2#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
#  semapv: "https://w3id.org/semapv/vocab/"
#  orcid: "https://orcid.org/"
#mapping_set_id: "https://w3id.org/tesseract/construction-crosswalks/bot-ifc"
#mapping_set_version: "0.1.0"
#mapping_set_title: "W3C BOT (Building Topology Ontology) to ifcOWL IFC4 ADD2 crosswalk"
#license: "https://creativecommons.org/licenses/by/4.0/"
#creator_id: "orcid:0009-0001-7244-794X"
#subject_source: "https://w3id.org/bot"
#object_source: "http://ifcowl.openbimstandards.org/IFC4_ADD2"
#comment: "Candidate-for-review crosswalk between the W3C Linked Building Data Community Group's Building Topology Ontology and ifcOWL IFC4 ADD2 (ISO 16739-1). Rows with predicate_modifier=Not are asserted NON-mappings: pairs that look alignable and are not. See DIVERGENCES.md. SKOS mapping direction follows the SKOS Reference: A skos:broadMatch B asserts B is the broader concept; A skos:narrowMatch B asserts B is the narrower concept. Confidence is the curator's, not a computed score."
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	mapping_justification	confidence	comment
bot:Site	Site	skos:closeMatch		ifc:IfcSite	IfcSite	semapv:ManualMappingCuration	0.9	Both denote the area of land on which construction takes place. Not exact: IfcSite is an IfcProduct that can carry placement, geometry and a compositionType (COMPLEX/ELEMENT/PARTIAL), while bot:Site is a purely topological zone with no geometric commitment. Every IfcSite instance is defensibly a bot:Site; a bot:Site need not satisfy IfcSite's product-layer machinery.
bot:Building	Building	skos:closeMatch		ifc:IfcBuilding	IfcBuilding	semapv:ManualMappingCuration	0.9	Direct. Same caveat as Site on the product-layer asymmetry. Note IFC 4.3 generalises IfcBuilding under IfcFacility (bridges, roads, marine works); IFC4 ADD2 has no IfcFacility, so infrastructure assets have no home on the IFC side of this pair while bot:Building is explicitly buildings only. The gap is symmetric and honest here; it stops being honest in Uniclass, which classifies bridges as entities alongside buildings.
bot:Storey	Storey	skos:closeMatch		ifc:IfcBuildingStorey	IfcBuildingStorey	semapv:ManualMappingCuration	0.9	Direct. Both are the horizontal level-of-a-building notion, both sit strictly below Building in the containment hierarchy.
bot:Space	Space	skos:closeMatch		ifc:IfcSpace	IfcSpace	semapv:ManualMappingCuration	0.85	Both are the bounded three-dimensional extent notion. IfcSpace requires association to the spatial structure and supports internal/external designation; bot:Space is any limited three-dimensional extent defined physically or notionally. bot:Space also plausibly covers IfcExternalSpatialElement, which IfcSpace excludes.
bot:Zone	Zone	skos:closeMatch		ifc:IfcSpatialStructureElement	IfcSpatialStructureElement	semapv:ManualMappingCuration	0.85	The structural mirror at the top of both hierarchies: bot:Zone subsumes Site, Building, Storey and Space exactly as IfcSpatialStructureElement subsumes IfcSite, IfcBuilding, IfcBuildingStorey and IfcSpace. Two independent committees drew the same four-way partition of built space. This, not any label match, is where the crosswalk starts.
bot:Zone	Zone	skos:narrowMatch		ifc:IfcSpatialZone	IfcSpatialZone	semapv:ManualMappingCuration	0.7	IfcSpatialZone (new in IFC4) is a non-hierarchical spatial volume for thermal, lighting or accessibility zoning that may span storeys. It is one narrower kind of bot:Zone. Kept separate from the IfcSpatialStructureElement row because IfcSpatialZone sits outside the IfcSpatialStructureElement branch.
bot:Element	Element	skos:closeMatch		ifc:IfcElement	IfcElement	semapv:ManualMappingCuration	0.85	Both denote the physically existing component with a characteristic technical function, form or position. Not promotable to equivalence: IFC subsumes IfcVirtualElement (a non-physical boundary placeholder) under IfcElement, and bot:Element carries no such member. See the asserted non-mapping below and DIVERGENCES.md D2.
bot:Interface	Interface	skos:narrowMatch		ifc:IfcRelSpaceBoundary	IfcRelSpaceBoundary	semapv:ManualMappingCuration	0.7	IfcRelSpaceBoundary reifies the boundary between a space and an element, which is one narrower kind of bot:Interface. bot:Interface also qualifies zone-zone and element-element junctions (a thermal bridge between two walls) for which IFC4 offers no first-class object. The direction matters: read this row as 'IfcRelSpaceBoundary is the narrower concept'.
bot:Zone	Zone	skos:closeMatch	Not	ifc:IfcZone	IfcZone	semapv:ManualMappingCuration	0.95	THE false friend of the pair, and the reason label-driven alignment fails here. IfcZone is not a spatial thing at all: it is a subclass of IfcGroup, an arbitrary non-spatial grouping of IfcSpace/IfcSpatialZone instances with no geometry and no containment semantics. bot:Zone is the spatial superclass of site, building, storey and space. Asserting bot:Zone = IfcZone drags every BOT site, building and storey into IFC's group branch. Same word, disjoint intent. See DIVERGENCES.md D1.
bot:Element	Element	skos:closeMatch	Not	ifc:IfcVirtualElement	IfcVirtualElement	semapv:ManualMappingCuration	0.9	IfcVirtualElement exists to delimit a space where no physical element exists (an imaginary boundary splitting an open-plan floor). It has no technical function, no form and no material presence, so it fails bot:Element's definition even though IFC itself files it under IfcElement. See DIVERGENCES.md D2.
bot:Interface	Interface	skos:closeMatch	Not	ifc:IfcRelConnectsElements	IfcRelConnectsElements	semapv:ManualMappingCuration	0.8	Tempting because both talk about two things meeting. IfcRelConnectsElements asserts physical/logical connectivity as a relationship instance; bot:Interface reifies the qualified surface or junction itself so that properties (thermal transmittance, fire rating) can attach to it. A connectivity assertion and a qualified junction are different ontological categories: one is a statement, the other is a thing.
